date,weather,temperature_c,weather_code,precipitation_sum,snowfall_sum
2023-01-01,cloudy,-2.6,3,0.0,0.0
2023-01-02,cloudy,-6.1,3,0.0,0.0
2023-01-03,clear,-6.5,0,0.0,0.0
2023-01-04,cloudy,-4.3,3,0.0,0.0
2023-01-05,cloudy,-3.4,3,0.0,0.0
2023-01-06,snow,-1.3,75,3.4,1.82
2023-01-07,snow,0.1,73,0.3,0.21
2023-01-08,cloudy,-1.1,3,0.0,0.0
2023-01-09,cloudy,0.7,3,0.0,0.0
2023-01-10,cloudy,-1.7,3,0.0,0.0
2023-01-11,cloudy,-0.7,3,0.0,0.0
2023-01-12,cloudy,2.1,3,0.0,0.0
2023-01-13,rainy,6.6,63,20.4,0.0
2023-01-14,snow,4.6,71,4.2,0.07
2023-01-15,snow,-0.7,73,4.4,2.73
2023-01-16,cloudy,-6.4,3,0.0,0.0
2023-01-17,cloudy,-5.3,3,0.0,0.0
2023-01-18,cloudy,-4.5,3,0.0,0.0
2023-01-19,snow,-2.4,73,1.4,0.98
2023-01-20,snow,-4.3,73,1.2,0.77
2023-01-21,cloudy,-7.0,3,0.0,0.0
2023-01-22,snow,-2.3,71,0.5,0.35
2023-01-23,cloudy,-2.0,3,0.0,0.0
2023-01-24,cloudy,-14.8,3,0.0,0.0
2023-01-25,cloudy,-13.3,3,0.0,0.0
2023-01-26,snow,-5.6,71,0.9,0.77
2023-01-27,clear,-10.0,0,0.0,0.0
2023-01-28,cloudy,-7.8,3,0.0,0.0
2023-01-29,cloudy,-3.8,3,0.0,0.0
2023-01-30,clear,-3.4,0,0.0,0.0
2023-01-31,rainy,0.5,51,0.1,0.0
2023-02-01,cloudy,-0.5,3,0.0,0.0
2023-02-02,cloudy,-3.8,3,0.0,0.0
2023-02-03,cloudy,-3.1,3,0.0,0.0
2023-02-04,clear,-2.8,0,0.0,0.0
2023-02-05,cloudy,-0.3,2,0.0,0.0
2023-02-06,cloudy,0.1,3,0.0,0.0
2023-02-07,cloudy,0.6,3,0.0,0.0
2023-02-08,clear,-0.6,0,0.0,0.0
2023-02-09,rainy,1.4,51,0.2,0.0
2023-02-10,rainy,2.4,53,1.7,0.0
2023-02-11,cloudy,-0.4,3,0.0,0.0
2023-02-12,cloudy,1.5,3,0.0,0.0
2023-02-13,rainy,4.3,51,0.2,0.0
2023-02-14,cloudy,0.1,3,0.0,0.0
2023-02-15,cloudy,0.8,3,0.0,0.0
2023-02-16,cloudy,0.9,3,0.0,0.0
2023-02-17,cloudy,0.9,3,0.0,0.0
2023-02-18,cloudy,3.8,3,0.0,0.0
2023-02-19,cloudy,2.0,3,0.0,0.0
2023-02-20,clear,-2.5,0,0.0,0.0
2023-02-21,cloudy,-3.6,2,0.0,0.0
2023-02-22,cloudy,-2.0,3,0.0,0.0
2023-02-23,cloudy,-0.0,3,0.0,0.0
2023-02-24,cloudy,1.5,3,0.0,0.0
2023-02-25,clear,-1.4,0,0.0,0.0
2023-02-26,clear,-0.9,0,0.0,0.0
2023-02-27,clear,0.5,0,0.0,0.0
2023-02-28,cloudy,2.4,3,0.0,0.0
2023-03-01,cloudy,4.6,3,0.0,0.0
2023-03-02,clear,0.3,0,0.0,0.0
2023-03-03,cloudy,2.0,3,0.0,0.0
2023-03-04,cloudy,4.4,3,0.0,0.0
2023-03-05,clear,5.0,1,0.0,0.0
2023-03-06,clear,5.6,1,0.0,0.0
2023-03-07,cloudy,8.9,3,0.0,0.0
2023-03-08,rainy,10.0,65,12.0,0.0
2023-03-09,rainy,8.5,51,0.2,0.0
2023-03-10,cloudy,10.1,3,0.0,0.0
2023-03-11,cloudy,11.6,3,0.0,0.0
